"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2015-10-31,99334,"97496","OR","Roseburg","Douglas","Winston",8305,132100,0.00532724505327245,0.0138142747505756,0.0926385442514475,0.00886057046743982,-0.00378088476427896,"2007-07","2007-Q3",150600,-0.122841965471448,"2005-08"
2015-10-31,86292,"64034","MO","Kansas City","Jackson","Greenwood",8306,185800,-0.0016120365394949,0.0339454646633278,0.180432020330368,0.0185332272988128,-0.040456074085142,"2006-10","2006-Q4",291600,-0.362825788751715,"1998-07"
2015-10-31,68606,"25425","WV","Washington","Jefferson","Harpers Ferry",8307,148300,0.0102179836512262,0.0348918353105373,0.00884353741496599,-0.0184840756411515,,"2010-02","2010-Q1",194100,-0.235960844925296,
2015-10-31,61841,"10530","NY","New York","Westchester","Hartsdale",8308,462600,0.00281812269672664,0.0325892857142857,0.0627153687112336,-0.0173473005362341,-0.0233183225259036,"2006-08","2006-Q3",601800,-0.231306081754736,"2004-01"
2015-10-31,65796,"19129","PA","Philadelphia","Philadelphia","Philadelphia",8309,192100,0.0031331592689295,0.00208659363588941,0.0619126589275843,-0.00960744404892522,0.000156302946550113,"2009-11","2009-Q4",215900,-0.110236220472441,"2005-11"
2015-10-31,73347,"35146","AL","Birmingham","Saint Clair","Springville",8310,190700,0.00421274354923644,0.0165245202558635,0.0403709765411893,0.0315087151770383,0.0107272797127751,"2015-10","2015-Q4",190700,0,"2015-10"
2015-10-31,73229,"34949","FL","Port St. Lucie","Saint Lucie","Fort Pierce",8311,238600,0.00463157894736842,0.0174840085287846,0.0806159420289855,0.0470475894094582,-0.0414885819752393,"2006-01","2006-Q1",376100,-0.365594256846583,"2003-12"
2015-10-31,94761,"85045","AZ","Phoenix","Maricopa","Phoenix",8312,366200,0.00136724090784796,0.000273149412728763,0.0175048624617949,0.0488527095981739,-0.0301768972703913,"2006-04","2006-Q2",518800,-0.29414032382421,"2005-02"
2015-10-31,60548,"07033","NJ","New York","Union","Kenilworth",8313,310700,0.0107351984385166,0.0254125412541254,-0.0149017121116043,-0.00816435801449189,-0.028037214375613,"2006-06","2006-Q2",423400,-0.266178554558337,"2004-05"
2015-10-31,77194,"44481","OH","Youngstown","Trumbull","Lordstown",8314,117200,0.00170940170940171,0.00342465753424658,0.0112165660051769,0.00947870433112907,-0.00618369930071683,"2006-09","2006-Q3",128600,-0.088646967340591,"2004-09"
2015-10-31,66617,"20769","MD","Washington","Prince Georges","Glenn Dale",8315,375300,0.00914224253831675,0.0167976158222704,0.0231733914940022,0.0299599654381439,-0.0219159701617799,"2006-06","2006-Q2",500900,-0.250748652425634,"2004-11"
2015-10-31,71699,"31820","GA","Columbus","Muscogee","Midland",8316,227400,0.00132100396301189,0.00797872340425532,0.0407322654462243,-0.00253123610763228,0.00106158098983333,"2007-11","2007-Q4",241700,-0.0591642532064543,"2005-12"
2015-10-31,94222,"83607","ID","Boise City","Canyon","Caldwell",8317,143200,0.00491228070175439,0.0177683013503909,0.0856709628506444,0.0391185751534169,0.0125572658682427,"2007-07","2007-Q3",178700,-0.198656966983772,"2006-04"
2015-10-31,58572,"01982","MA","Boston","Essex","Hamilton",8318,479500,0.0118168389955687,0.0354135175987908,0.0182629008282013,0.028670866465774,-0.00321659833192656,"2005-06","2005-Q2",499200,-0.039463141025641,"2005-01"
2015-10-31,62130,"11514","NY","New York","Nassau","Carle Place",8319,452100,0.0123152709359606,0.0279672578444748,0.0331352833638026,0.0200901463448229,-0.00894435520151438,"2006-05","2006-Q2",505200,-0.105106888361045,"2005-01"
2015-10-31,60739,"07648","NJ","New York","Bergen","Norwood",8320,507700,-0.00137686860739575,-0.0103313840155945,0.00177584846093133,-0.0069059923181104,-0.0209780637309515,"2006-01","2006-Q1",635300,-0.200849992129703,"2003-12"
2015-10-31,80992,"52531","IA",,"Monroe","Albia",8321,111100,-0.00626118067978533,-0.0115658362989324,0.126774847870183,0.0738580878005453,,"2015-07","2015-Q3",112400,-0.0115658362989324,"2015-05"
2015-10-31,98046,"95212","CA","Stockton","San Joaquin","Stockton",8322,298800,-0.00100300902708124,0.00504540867810293,0.0841799709724238,0.0732849062388086,-0.0444681001929635,"2006-04","2006-Q2",481400,-0.379310344827586,"2004-01"
2015-10-31,62150,"11557","NY","New York","Nassau","Hewlett",8323,565700,0.0128916741271262,0.0283584802763134,0.0427649769585253,0.00848470247026234,-0.0123108847392334,"2006-07","2006-Q3",651300,-0.131429448794718,"2004-06"
2015-10-31,76507,"43076","OH","Columbus","Fairfield","Thornville",8324,163200,0.00492610837438424,0.0142945929148539,0.098250336473755,0.041617864586488,,"2015-10","2015-Q4",163200,0,"2015-10"
2015-10-31,80632,"51105","IA","Sioux City","Woodbury","Sioux City",8325,66400,0,0.0199692780337942,0.114093959731544,0.0339186106839113,-0.0128920983434443,"2008-03","2008-Q1",89400,-0.257270693512304,"2000-04"
2015-10-31,60837,"07850","NJ","New York","Morris","Roxbury Township",8326,250700,0.00763665594855305,0.016214025131739,-0.0187866927592955,-0.0143582006397366,-0.0270798416011365,"2006-06","2006-Q2",342400,-0.267815420560748,"2003-07"
2015-10-31,91084,"75789","TX","Tyler","Smith","Troup",8327,106100,0.00951474785918173,0.00664136622390892,0.070635721493441,,,"2011-10","2011-Q4",150000,-0.292666666666667,
2015-10-31,72803,"33762","FL","Tampa","Pinellas","Feather Sound",8328,153100,0.0112285336856011,0.0344594594594595,0.0358592692828146,0.0348492662732962,-0.0344571212786032,"2006-07","2006-Q3",237500,-0.355368421052632,"2004-06"
2015-10-31,78991,"48120","MI","Detroit","Wayne","Dearborn",8329,127700,0.0159108989657916,0.0450081833060556,0.108506944444444,0.070820611512965,-0.0228449399035016,"2003-05","2003-Q2",173200,-0.26270207852194,"1998-11"
2015-10-31,77507,"45216","OH","Cincinnati","Hamilton","Cincinnati",8330,64000,0.0110584518167457,0.00946372239747634,0.00628930817610063,-0.0197155535067026,-0.0311232243873548,"2006-05","2006-Q2",88600,-0.27765237020316,"1998-04"
2015-10-31,85379,"62260","IL","St. Louis","Saint Clair","Millstadt",8331,144400,-0.00619408121128699,-0.00824175824175824,-0.0347593582887701,-0.0135580325287918,-0.0176807829963316,"2007-02","2007-Q1",182200,-0.207464324917673,"2003-02"
2015-10-31,90710,"75125","TX","Dallas-Fort Worth","Ellis","Ferris",8332,101000,0.0069790628115653,0.0264227642276423,0.147727272727273,0.0527713751890173,0.016207257605674,"2015-10","2015-Q4",101000,0,"2015-10"
2015-10-31,90656,"75054","TX","Dallas-Fort Worth","Dallas","Grand Prairie",8333,279900,0.00828530259365994,0.0252747252747253,0.167222685571309,0.065202013638388,0.0279804102921504,"2015-10","2015-Q4",279900,0,"2015-10"
2015-10-31,82225,"55374","MN","Minneapolis-St Paul","Hennepin","Rogers",8334,267900,0.000373412994772218,0.00337078651685393,0.0182440136830103,0.0317857484535904,-0.0133702118272058,"2007-02","2007-Q1",313500,-0.145454545454545,"2003-10"
2015-10-31,78402,"47012","IN",,"Franklin","Brookville",8335,120700,0.0016597510373444,-0.000827814569536424,0.0016597510373444,0.0111328805572966,-0.00349444109952191,"2014-02","2014-Q1",131800,-0.0842185128983308,"2013-04"
2015-10-31,79573,"49087","MI","Kalamazoo","Kalamazoo","Schoolcraft",8336,176300,0.00284414106939704,0.00284414106939704,0.0537955768081291,0.028755514724969,0.00750428358155908,"2015-10","2015-Q4",176300,0,"2015-10"
2015-10-31,65098,"17540","PA","Lancaster","Lancaster","Leacock-Leola-Bareville",8337,193700,0.000516528925619835,0.00362694300518135,0.0205479452054795,0.00652755724289777,0.00564367775592611,"2007-08","2007-Q3",208300,-0.0700912145943351,"2006-12"
2015-10-31,78191,"46574","IN","South Bend","Saint Joseph","Walkerton",8338,103000,-0.00675024108003857,-0.023696682464455,-0.0115163147792706,-0.0304135191424985,,"2009-08","2009-Q3",142900,-0.279216235129461,"2008-07"
2015-10-31,60653,"07403","NJ","New York","Passaic","Bloomingdale",8339,271300,0.00892525102268501,0.0347063310450038,0.0438630242400923,-0.0175412636546836,-0.0275939918220174,"2006-05","2006-Q2",378800,-0.283790918690602,"2003-08"
2015-10-31,67005,"21727","MD","Washington","Frederick","Emmitsburg",8340,182800,0,-0.00272776868521549,-0.065439672801636,-0.0273616723146932,-0.0246818410904044,"2007-03","2007-Q1",253100,-0.277755827736073,"2003-10"
2015-10-31,70411,"29334","SC","Spartanburg","Spartanburg","Duncan",8341,135200,0.00074019245003701,0.00595238095238095,0.0496894409937888,0.0143555091998593,0.0112418606920959,"2015-10","2015-Q4",135200,0,"2015-10"
2015-10-31,58306,"01238","MA","Pittsfield","Berkshire","Town of Lee",8342,222200,-0.00134831460674157,-0.00626118067978533,-0.0224373075230972,-0.00267860991726065,-0.0063016248836173,"2008-07","2008-Q3",251800,-0.117553613979349,"2005-02"
2015-10-31,63546,"14472","NY","Rochester","Monroe","Honeoye Falls",8343,221300,0.00499545867393279,0.00865998176845944,0.0118884316415181,0.0180150092994618,0.0148335226024625,"2015-04","2015-Q2",222400,-0.00494604316546763,"2015-03"
2015-10-31,63352,"14001","NY","Buffalo","Erie","Newstead",8344,163800,0.0018348623853211,0.0154990700557967,-0.0132530120481928,0.033528198597168,,"2014-12","2014-Q4",167600,-0.022673031026253,"2014-09"
2015-10-31,87241,"66610","KS","Topeka","Shawnee","Topeka",8345,214100,0.00281030444964871,0.0108593012275732,0.0662350597609562,0.00273125184343059,,"2013-05","2013-Q2",225400,-0.0501330967169476,"2012-08"
2015-10-31,60860,"07885","NJ","New York","Morris","Wharton",8346,251200,0.00159489633173844,0.00279441117764471,-0.0323574730354391,-0.0130113185570258,-0.0306397319027234,"2006-05","2006-Q2",355200,-0.292792792792793,"2003-07"
